ncm;regime;cst;norma;dispositivo;trecho
220710;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 113";"Álcool, Inclusive para Fins Carburantes – Venda por Distribuidor ou Comerciante Não Varejista."
2207201;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 113";"Álcool, Inclusive para Fins Carburantes – Venda por Distribuidor ou Comerciante Não Varejista."
22089000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 113";"Álcool, Inclusive para Fins Carburantes – Venda por Distribuidor ou Comerciante Não Varejista."
22072010;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 117";"Álcool, Inclusive para Fins Carburantes – Venda efetuada diretamente do produtor ou do importador para as pessoas jurídicas de que tratam os incisos II e III do caput do art. 68-B da Lei nº 9.478, de 6 de agosto de 1997"
22071000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 117";"Álcool, Inclusive para Fins Carburantes – Venda efetuada diretamente do produtor ou do importador para as pessoas jurídicas de que tratam os incisos II e III do caput do art. 68-B da Lei nº 9.478, de 6 de agosto de 1997"
22089000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 117";"Álcool, Inclusive para Fins Carburantes – Venda efetuada diretamente do produtor ou do importador para as pessoas jurídicas de que tratam os incisos II e III do caput do art. 68-B da Lei nº 9.478, de 6 de agosto de 1997"
22072010;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 117";"Álcool, Inclusive para Fins Carburantes – Venda efetuada diretamente do produtor ou do importador para as pessoas jurídicas de que tratam os incisos II e III do caput do art. 68-B da Lei nº 9.478, de 6 de agosto de 1997"
22071000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 117";"Álcool, Inclusive para Fins Carburantes – Venda efetuada diretamente do produtor ou do importador para as pessoas jurídicas de que tratam os incisos II e III do caput do art. 68-B da Lei nº 9.478, de 6 de agosto de 1997"
22089000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 117";"Álcool, Inclusive para Fins Carburantes – Venda efetuada diretamente do produtor ou do importador para as pessoas jurídicas de que tratam os incisos II e III do caput do art. 68-B da Lei nº 9.478, de 6 de agosto de 1997"
3002102;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
3002201;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
30029092;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
3006301;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
3002101;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
3002202;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
30049046;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
30051010;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
3006302;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
30029099;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
30066000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
30039056;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
3002103;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
30029020;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 201";"Produtos Farmacêuticos"
34012010;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 202";"Produtos de Perfumaria, de Toucador ou de Higiene Pessoal."
34011190;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 202";"Produtos de Perfumaria, de Toucador ou de Higiene Pessoal."
34012010;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 202";"Produtos de Perfumaria, de Toucador ou de Higiene Pessoal."
34011190;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 202";"Produtos de Perfumaria, de Toucador ou de Higiene Pessoal."
84324000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas Autopropulsadas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se exclusivamente aos produtos autopropulsados."
843320;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas Autopropulsadas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se exclusivamente aos produtos autopropulsados."
84333000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas Autopropulsadas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se exclusivamente aos produtos autopropulsados."
84335;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas Autopropulsadas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se exclusivamente aos produtos autopropulsados."
84334000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas Autopropulsadas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se exclusivamente aos produtos autopropulsados."
731029;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se aos produtos autopropulsados ou não."
76129012;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se aos produtos autopropulsados ou não."
842481;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se aos produtos autopropulsados ou não."
84306990;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se aos produtos autopropulsados ou não."
87162000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 301";"Veículos Automotores e Máquinas Agrícolas (*) Relativamente aos produtos classificados no Capítulo 84 da TIPI, aplica-se aos produtos autopropulsados ou não."
22011000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 401";"Águas Minerais Artificiais e Águas Gaseificadas Artificiais"
22011000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 402";"Águas Minerais Naturais, Incluídas as Naturalmente Gaseificadas"
24021000;st;05;"Tabela 4.3.12 - Tabela Produtos Sujeitos à Substituição Tributária da Contribuição Social (CST 05) - Versão 1.0.4 - Atualizada em 17/11/2014";"Codigo da natureza da receita 102";"Cigarrilhas"
31;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 101";"Adubos ou fertilizantes classificados no Capítulo 31, exceto os produtos de uso veterinário, da TIPI, e suas matérias-primas"
25;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 104";"Corretivo de solo de origem mineral classificado no Capítulo 25 da TIPI"
110620;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 105";"Legumes de vagem, secos, em grão, mesmo pelados ou partidos; arroz; farinhas e sêmolas"
07133399;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 105";"Legumes de vagem, secos, em grão, mesmo pelados ou partidos; arroz; farinhas e sêmolas"
100620;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 105";"Legumes de vagem, secos, em grão, mesmo pelados ou partidos; arroz; farinhas e sêmolas"
07133329;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 105";"Legumes de vagem, secos, em grão, mesmo pelados ou partidos; arroz; farinhas e sêmolas"
07133319;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 105";"Legumes de vagem, secos, em grão, mesmo pelados ou partidos; arroz; farinhas e sêmolas"
100630;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 105";"Legumes de vagem, secos, em grão, mesmo pelados ou partidos; arroz; farinhas e sêmolas"
30029099;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 106";"Inoculantes agrícolas produzidos a partir de bactérias fixadoras de nitrogênio, classificados no código 3002.90.99 da TIPI"
300230;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 107";"Vacinas para medicina veterinária"
110220;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 108";"Farinha, grumos e sêmolas, grãos esmagados ou em flocos, de milho, classificados, respectivamente, nos códigos 1102.20, 1103.13 e 1104.19, todos da TIPI"
110313;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 108";"Farinha, grumos e sêmolas, grãos esmagados ou em flocos, de milho, classificados, respectivamente, nos códigos 1102.20, 1103.13 e 1104.19, todos da TIPI"
010511;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 109";"Pintos de 1 (um) dia"
11010010;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 113";"Farinha de trigo"
19059090;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 115";"Pré-misturas próprias para fabricação de pão comum e pão comum"
19012000;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 115";"Pré-misturas próprias para fabricação de pão comum e pão comum"
05119920;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 118";"Venda de semens e embriões"
05119910;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 118";"Venda de semens e embriões"
19023000;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 119";"Massas alimentícias classificadas na posição 19.02 da TIPI."
19021100;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 119";"Massas alimentícias classificadas na posição 19.02 da TIPI."
19021900;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 119";"Massas alimentícias classificadas na posição 19.02 da TIPI."
19022000;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 119";"Massas alimentícias classificadas na posição 19.02 da TIPI."
02061000;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 121";"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal classificados nos seguintes códigos da TIPI: a) 02.01, 02.02, 0206.10.00, 0206.2, 0210.20.00, 0506.90.00, 0510.00.10 e 1502.10.1; b) 02.03, 0206.30.00, 0206.4, 02.07, 02.09 e 0210.1 e carne de frango classificada no código 0210.99.00; e c) 02.04 e miudezas comestíveis de ovinos e caprinos classificadas no código 0206.80.00;"
05100010;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 121";"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal classificados nos seguintes códigos da TIPI: a) 02.01, 02.02, 0206.10.00, 0206.2, 0210.20.00, 0506.90.00, 0510.00.10 e 1502.10.1; b) 02.03, 0206.30.00, 0206.4, 02.07, 02.09 e 0210.1 e carne de frango classificada no código 0210.99.00; e c) 02.04 e miudezas comestíveis de ovinos e caprinos classificadas no código 0206.80.00;"
02064;zero;06;"Tabela 4.3.13 – Produtos Sujeitos à Alíquota Zero da Contribuição Social CST 06 – Versão 1.34- Atualizada em 16/04/2025";"Codigo da natureza da receita 121";"Carnes bovina, suína, ovina, caprina e de aves e produtos de origem animal classificados nos seguintes códigos da TIPI: a) 02.01, 02.02, 0206.10.00, 0206.2, 0210.20.00, 0506.90.00, 0510.00.10 e 1502.10.1; b) 02.03, 0206.30.00, 0206.4, 02.07, 02.09 e 0210.1 e carne de frango classificada no código 0210.99.00; e c) 02.04 e miudezas comestíveis de ovinos e caprinos classificadas no código 0206.80.00;"
