termo;ncm;preparo;ramo;nivel;descricao
rodizio;21069090;S;alimentacao;erro;Refeicao
combo;21069090;S;alimentacao;erro;Combo de alimentos
chiclete;170410;N;alimentacao;erro;Goma de mascar
goma de mascar;170410;N;alimentacao;erro;Goma de mascar
trident;170410;N;alimentacao;erro;Goma de mascar
halls;170490;N;alimentacao;erro;Bala / caramelo
bala;170490;N;alimentacao;atencao;Bala / caramelo - confirmar
couvert;SERVICO;S;alimentacao;erro;Couvert artistico - prestacao de servico, fora do campo do ICMS
couvert artistico;SERVICO;S;alimentacao;erro;Couvert artistico - prestacao de servico, fora do campo do ICMS
taxa de servico;SERVICO;S;alimentacao;erro;Taxa de servico - nao e mercadoria
gorjeta;SERVICO;S;alimentacao;erro;Gorjeta - nao e mercadoria
taxa de rolha;SERVICO;S;alimentacao;erro;Servico - nao e mercadoria
show;SERVICO;S;alimentacao;atencao;Ingresso ou apresentacao - conferir se e servico
musica ao vivo;SERVICO;S;alimentacao;erro;Servico - nao e mercadoria
